uri,text,Incomprensibile,Non sensibile,Non so,Sensibile,class
1501,bargain north,1,1,0,1,0
1502,broke forearm dislocated sheared elbow fractured 3 ribs lacerated spleen jumping ledge san lorenzo river friday shell floor dominican hospital 2210 tuesday anyone wants keep com,0,0,0,3,1
1503,excited finally get hospital tomorrow,0,0,0,3,1
1504,finally legit painkillers hopefully metal arm stops hurting soon think im gonna watch entire series entourage since still two days bed rest propane help back health anyway,0,0,0,3,1
1505,dont keep typing evrytime sum asks slipped cliff jump clear rocks sheared ball joint left elbow dislocated compound fracture compound fracture forearm 3 fractured ribs lacerated,0,0,0,3,1
1506,getting much better,0,0,0,3,1
1507,new perspective crazy close came dying friday im happy hospital parents house come visit im bed rest till sunday low activity next 3 months,0,0,0,3,1
1508,woke lot pain hit morphine button like 6 times pains totally gone least subsided little,0,0,0,3,1
1509,bored santa cruz,0,0,0,3,1
1510,spleen healing nicely still cant feel fingertips left hand also wishes nurses assistants werent incompetent one helped toilet morning left never came back help back bed,0,0,0,3,1
1511,got amazing rainbow tutu leggings,0,3,0,0,0
1512,sick hospital able things,0,0,0,3,1
1513,takes store exit iv instead los corners exit weird,0,2,0,1,0
1514,isla vista without phone,0,0,0,3,1
1515,gettin ready reggae,0,1,0,2,1
1516,mom strawberry rhubarb cobbler ummm,0,2,0,1,0
1517,heart wilderness beauty emptiness endure cause never sure,0,3,0,0,0
1518,commercial narrator searching us dont even know looking feel unexplainable emptiness filled one thing pan stars answer appears scientology ri,0,3,0,0,0
1519,problem trusting newness properly actual experience possesses lot powerful things powerful cant face therefore borrow past invite future time maybe thats seek religion maybe thats march street maybe thats complain society maybe thats vote presidents,0,2,0,1,0
1520,cant sleep dog keeps barking something yard kinda freakin,0,1,0,2,1
1521,rediscovered old journal old poetry spending day pondering real friends bed rest given lot time think lol,0,1,0,2,1
1522,find interesting cannot reply comments propnames page without entering phone number neighbor mine received threatening calls conservative group voicing opinion rally got number know wonder would happened entered number scary stuff,0,1,0,2,1
1523,continually jumping cliffs developing wings way propane,0,3,0,0,0
1524,mustache,0,2,0,1,0
1525,missing isla vista hardcore tonight need adventure,0,2,0,1,0
1526,getting everything work despite drastic change plans,0,2,1,0,0
1527,going city tonight even though shes broken ooo cousin drew pretty pink cupcake cast,0,0,0,3,1
1528,got burned steak grease blisters leg im tryin ignore think chef owes serious sesh cough propane coughcough hahaha,0,0,0,3,1
1529,think walking step step dont speak mind think see eyes maybe reflection mine,0,3,0,0,0
1530,packing old baggage mailing away timbuktu starting new day,0,0,0,3,1
1531,see forgive imperfections youve auctioned clothes look see true reflection one loves propane one loves,0,2,1,0,0
1532,getting onboard first time 3 months time go around isla vista collecting flowers new apartment,0,0,0,3,1
1533,stoked west beach today bad sunnier someone tell santa barbara still summer,0,0,0,3,1
1534,towns live fire lot recently,0,2,0,1,0
1535,regaining colors fitting skin,0,1,0,2,1
1536,repairing broken math skills one equation time,0,2,0,1,0
1537,hope love dont worry child dont worry bout thing night lift us rise rise madness propane,0,3,0,0,0
1538,heading downtown live music lovely sunday afternoon,0,0,0,3,1
1539,stoked see propane propane propane hollywood bowl lady tonight,0,0,0,3,1
1540,preparing five days awesomeness hurray geoff,0,2,0,1,0
1541,cuddling propane cutest puppy ever,0,3,0,0,0
1542,living cloud nine aka montecito hills house moved insanely beautiful best free,0,0,0,3,1
1543,long day field tomorrow escaping isla vista weekend,0,0,0,3,1
1544,loves field fridays beer hour thanks propane great beer czar,0,0,0,3,1
1545,spending day watching dexter instead productive like,0,1,0,2,1
1546,thankful quite patio watch meteor shower tonight anyone want join,0,1,0,2,1
1547,hope love dont worry child dont worry bout thing night life us rise rise madness propane,0,3,0,0,0
1548,anyone home ghost town,0,2,0,1,0
1549,go thanksgiving hike family,0,0,0,3,1
1550,thankful warm fire good wine ladies,0,2,0,1,0
1551,downtown international party ummm decisions decisions one things sure studying tonight,0,1,0,2,1
1552,cant believe shes leaving lodge morning two years end era propane love forever,0,0,0,3,1
1553,expected work much fun puddle jumping done,0,2,0,1,0
1554,simple smile change day understanding look say know exactly feel learned build walls strong tall fear world might steal,0,2,1,0,0
1555,really stressful day work got 45 tip thank microdot,0,1,0,2,1
1556,finished last quarter usb crazy,1,2,0,0,0
1557,happy grades even happier spend time needed school quarter,0,1,0,2,1
1558,come come well travel infinity,0,3,0,0,0
1559,folk tribal arts festival museum natural history gonna go find gifts watch bellydancing,0,1,0,2,1
1560,exhausted ready see ladies tomorrow,0,2,1,0,0
1561,got back reel rock film show officially views propane biggest badass ever,0,3,0,0,0
1562,applying peace corpsmasters international civil engineering,0,1,0,2,1
1563,dont need reason three piece suit argue truth,0,3,0,0,0
1564,overwhelmed data supposed quick easy lab barely even know start lack experience kicking ass,0,2,0,1,0
1565,finally got computer back shape open office torrent skype actually make use computer,0,2,0,1,0
1566,roast wine family south park happy propane,0,1,0,2,1
1567,going fall 2009 semester sea voyage doctors orders never devastated entire life,0,0,0,3,1
1568,snow snow snow snow come,0,3,0,0,0
1569,got distracted borders three hours today put rhyming dictionary next science section wanted dictionary ended reading things string theory genetic destiny chromosome apparently men slow certain path towards extinction afternoon,0,2,0,1,0
1570,finished stats paper bought ticket brett deinen world wonderful work next 8 hours wonderful oh well,0,0,0,3,1
1571,waging vendetta usb parking services,0,1,0,2,1
1572,anyone macaroni antimalaria med dont need,0,0,0,3,1
1573,overwhelmed excitement,0,1,0,2,1
1574,heading doctor yet reggae redwoods tonight brookdale lodge,0,0,1,2,1
1575,gettin road feelin fine ill back isla vista time,0,0,0,3,1
1576,great time devil makes three new years time pack semester sea,0,1,0,2,1
1577,hawaii yay,0,0,0,3,1
1578,hawaii yay phone email arsherrinsemesteratseanet,0,0,0,3,1
1579,received early acceptance michigan tech civil engineering time peace corps application get ready world cause come,0,0,0,3,1
1580,san diego boarding explorer tomorrow morning want follow voyage im keeping blog link,0,0,0,3,1
1581,twice whole im slice,0,3,0,0,0
1582,someone explain keith misspell beginner hear use asphyxia correctly sentence,0,3,0,0,0
1583,430 im still awake hate sometimes,0,1,0,2,1
1584,write screenplay two days submit festival fat chance,0,3,0,0,0
1585,um mother nature love thunderstorms much next person ord one today could get shit together thank,0,3,0,0,0
1586,replacing highly original baseball status one womens tennis elena jankovic thinks shes number one tennis player id love try whatever shes,0,2,0,1,0
1587,friend got assassin would respond probably even make sense,0,3,0,0,0
1588,little glass vial little glass vial little glass vial,0,3,0,0,0
1589,nothing like falling asleep hour waking wide awake stupid body,0,2,0,1,0
1590,still awake 330 oh,0,1,0,2,1
1591,record kim made log account harvest farmville raspberries,0,1,0,2,1
1592,editing blows,0,2,1,0,0
1593,baseball april 1 caa basketball time yet,0,3,0,0,0
1594,propane said vessel want propnames sperm like stick sperm horse thoroughbred part brain vomits,0,2,1,0,0
1595,going cousins wedding awesome going legends bar afterwards,0,1,0,2,1
1596,finished pride prejudice zombies instead watching ghost shell im classy also giant geek,0,2,0,1,0
1597,heard maria cares new song ride home tonight needs give already,0,3,0,0,0
1598,justine lenin stay hell away tennis one wants back sir bitch,0,1,0,2,1
1599,suck nadia petrov,0,1,0,2,1
1600,cavemen astronauts got fight would win,0,3,0,0,0
1601,locked doors truck kids main road wed busy editing movie however left noticed left windows open probably safest security systems,0,0,0,3,1
1602,cavemen astronauts got fight would win,0,3,0,0,0
1603,called today left voicemail,0,3,0,0,0
1604,mom im sitting main street like hooker,0,2,0,1,0
1605,merry christmas eve yall shall celebrate working making drinks annoying last minute shoppers know jealous hope ruin friendship,0,1,0,2,1
1606,keith told thinks go ireland,0,3,0,0,0
1607,require 4 farmville gifts one following treesanimals peach bananananana date passion fruit pomegranate lime lemon avocado pig duck sheep goat horse shall rewarded afterlife,0,3,0,0,0
1608,rock band der messes,0,3,0,0,0
1609,wants play beatles rock band win resort cant keith watching footloose,0,3,0,0,0
1610,piss gypsy theres fly room wont leave alone better make sure anvil tied garage sharpened ice skate handy,0,2,0,1,0
1611,excuse mother nature hell snowing,0,3,0,0,0
1612,almost done hearing baseball messes,0,3,0,0,0
1613,um across universe even better time would probably even bettered one high would imagine,0,3,0,0,0
1614,need write even stupider screenplay first round fun,0,3,0,0,0
1615,wild things called sucky ass movie,0,3,0,0,0
1616,noon chithaeglir last beth dear nimmo noon ruined dan ulcer,3,0,0,0,0
1617,noise heard approximately 1121 est keith puking might sounded like black hole opening monster stabbed death number things keith know star wipe,0,1,0,2,1
1618,close hear baseball 6 months cant wait,0,3,0,0,0
1619,expansion chicken coops send chickens,0,2,1,0,0
1620,ankle hurts stupid dishwasher door,0,2,0,1,0
1621,pac 10 football hell guys season,0,3,0,0,0
1622,heart rockband beatles bandmates,0,3,0,0,0
1623,someone explain keith played football well played acts like worlds biggest sports fan told used go legends sundays watch football know fair catch,0,1,0,2,1
1624,louisiana justice peace refused marry interracial couple im racist piles piles black friends sure,0,2,0,1,0
1625,well dish dat happy hour bad idea,0,2,1,0,0
1626,anyone else click accept gift today facebook told ignored,1,2,0,0,0
1627,happy im opening weekend,0,1,0,2,1
1628,happy allows eve kids,0,2,0,1,0
1629,well squats certainly good idea right bed stupid stairs,0,1,0,2,1
1630,got film developed lot afraid,0,2,1,0,0
1631,im strange like thats way,0,1,0,2,1
1632,happy surveying embody,0,3,0,0,0
1633,alright thought working noon working 2 holla,0,0,0,3,1
1634,propane,1,0,2,0,0
1635,well 100 ive drinks need work far soon words great night happy birthday thom,0,1,0,2,1
1636,hate say anything might offend facebook peeps paranormal activity sucks beyond telling cannot remember ever disappointed movie,0,3,0,0,0
1637,anyone wanna pay hang play video games maybe write screenplay sarcastic cause would awesome,0,2,0,1,0
1638,kind best coworkers could,0,3,0,0,0
1639,dear kiss 957 ke 101 could possibly get lady gags jock 2 seconds play different song thank,0,3,0,0,0
1640,realized due able sleep never settled debate started weeks ago regarding cavemen astronauts cave men win course cave men win dont agree take fred,0,3,0,0,0
1641,volleyball championship weekend want play volleyball,0,2,0,1,0
1642,im going one toni arent words good avatar suck kenny,0,2,1,0,0
1643,home lots laundry little food hurray,0,0,0,3,1
1644,cant sleep work fun tomorrow,0,2,0,1,0
1645,ive released clutches retail time friends family merry xmas eve peeps,0,1,0,2,1
1646,still waiting psi candor imac havent exchanged gifts steve yet im holding hope happen,0,1,0,2,1
1647,watching forgotten already know im going pissed end,0,2,0,1,0
1648,hell still awake,0,1,0,2,1
1649,good nights sleep hopefully make excited close tomorrow cause right dont want,0,3,0,0,0
1650,2009 good wish even better 2010 could better wish great 2010 however wish happy new decade since decade ends end next year,0,3,0,0,0
1651,supposed surprised manny ortiz 2003 steroids list much surprising much shorter list would people playing past 10 years werent list,0,3,0,0,0
1652,dear santa list gifts hope see tree tomorrow psi 27 imac put list known mini cooper screenwriting job thank,0,2,0,1,0
1653,dont know express much love coworkers one best birthdays ever even shot,0,0,0,3,1
1654,louisville got robbed tonight refs embarrassment avatar even better second time,0,1,1,1,0
1655,met face face hear good enough blind,0,2,1,0,0
1656,update feel stairs last night stood proceeded faint point keith came started slapping asking ok head responding fine apparently mumbling want pain would laugh also good know hes need,0,0,0,3,1
1657,jacked neck somehow good nights sleep,0,2,0,1,0
1658,said say work best people planet,0,3,0,0,0
1659,um keith trying argue tennis get tennis get arguing,0,1,0,2,1
1660,dish dat canton day celebration moderate drinking least pulling propane,0,0,0,3,1
1661,jacked neck finger hand shoulder elbow knee calf im kind awesome,1,1,0,1,0
1662,world circumstances autotune rap solo vince vaughn,0,2,1,0,0
1663,nyquil supposed knock ass,0,1,1,1,0
1664,finished cleaning kitchen thats second one week,0,2,0,1,0
1665,finished,0,3,0,0,0
1666,1 essay left write one read amend necessary redone,0,2,0,1,0
1667,really cant bothered last essay,0,3,0,0,0
1668,thinks indians might taking humble food fight little seriously link,0,1,2,0,0
1669,excited going dark whilst worked exactly long wait knows going soon,0,1,0,2,1
1670,stung bee great discomfort,0,2,0,1,0
1671,twist shake shake shake shake baby,0,3,0,0,0
1672,working away like worker ant proverbs 302425 caps lock,0,3,0,0,0
1673,regretting eating much chocolate feeling tad ill,0,3,0,0,0
1674,missing propane,0,1,1,1,0
1675,used every piece loo roll one roll obviously one sitting first time ever,0,3,0,0,0
1676,finished,0,1,2,0,0
1677,went 4 mile run even though walked little bit pleased,0,1,0,2,1
1678,whoops bought everything needed cooked breakfast tomorrow morning accident ate lunch,0,2,0,1,0
1679,cooked breakfast morning mom,0,2,0,1,0
1680,making soup,0,1,0,2,1
1681,alive,0,2,0,1,0
1682,knows burning smell best sign good cooking thus going turn heat,0,2,1,0,0
1683,happy saw lot friends stanford saturday night made big bonfire,0,1,0,2,1
1684,thinks cold go shorts shirt going running anyway,0,0,0,3,1
1685,soup verdict type vegetable appearance fantastic texture good taste poor overall edible pleasant summary great soup looking full colour healthy vegetables creaminess hungry make soup feel good however eating thing soup avoided soup left 3 meals takers pay enjoy,0,3,0,0,0
1686,found tell roughly canal accents people say hello,0,3,0,0,0
1687,attended first parish council meeting,0,0,0,3,1
1688,regrets might dispose pumpkin propane becoming little furry wonders giving quick shave might job,0,3,0,0,0
1689,graduate,0,2,0,1,0
1690,huge pile washing,0,1,1,1,0
1691,social interview ask questions feel left,0,1,0,2,1
1692,outside yet today going post letter one lucky recipient,0,2,0,1,0
1693,anyone else feel mood abba sing along session,0,3,0,0,0
1694,missing katie,0,1,0,2,1
1695,realised around 5 last night nothing offer trickortreaters made toffee nobody came,0,1,1,1,0
1696,soon become member con club whoop,0,1,1,1,0
1697,longer huge pile washing,0,2,1,0,0
1698,know anyone,0,2,0,1,0
1699,busy morning plumber cleaner dog walker gardener around time,0,1,0,2,1
1700,wondering much tiffin cake needs eat get one five day fruit portions,0,2,1,0,0
1701,thinks ad glasses make world little bit fun,0,2,0,1,0
1702,last night went conference police asking us pray lets pray police communities god moves people pray,0,0,0,3,1
1703,apologises appears shouting talking loudly people moment hes getting used talking someone hard hearing keeps forgetting talk normally people,0,2,0,1,0
1704,wants know anyone borrowed elf costume,0,3,0,0,0
1705,talking propane,0,0,0,3,1
1706,practice shepherd,0,1,1,1,0
1707,put hold enjoying dancing music,0,2,0,1,0
1708,moving yet wood,0,3,0,0,0
1709,yaaaaaaaaaaaaaaaaaaaaay snooooooooooooooow,1,2,0,0,0
1710,may slipped ice thinks got away making look like break dancing,0,3,0,0,0
1711,heading home christmas,0,0,0,3,1
1712,may eaten many sweets today,0,1,1,1,0
1713,fighting make table football semis,0,2,1,0,0
1714,finds highly amusing currently bringing milk inside warm fridge,0,3,0,0,0
1715,start wrapping christmas presents,0,1,0,2,1
1716,longer talking propane bad way impractical expensive talk phone continuously needed things,0,0,0,3,1
1717,writing 2 chapters homework bed lifeline,0,2,0,1,0
1718,mind confusing scary,0,2,0,1,0
1719,cant without familyfriends anybody,0,1,0,2,1
1720,getting together map snacks music upallnight accessories hollywood starting driving 4,0,0,0,3,1
1721,lifeline pills kitty best combo ever night,0,2,0,1,0
1722,fucking hell error,0,2,0,1,0
1723,gah heads pounding wish want much pain makes pills much tempting,0,0,0,3,1
1724,okay different plans friday night la theres propane,0,2,1,0,0
1725,people say pain controlled mind agree people mean dont admire though,0,3,0,0,0
1726,doctors seem want sit wheelchair fucking way id rather walk street tears streaming benchedwhich unfortunately far,0,0,0,3,1
1727,well anyway fuck im gonna die young happy rather healthy old,0,1,0,2,1
1728,gonna 83 degree today coffee sunshine sweet email friend day started love continuing end love,0,1,0,2,1
1729,homefinally soooo tiredgonna get couple hours work starts,0,1,0,2,1
1730,alright recharged night dark dreams miracle worker,0,3,0,0,0
1731,easy read like,0,3,0,0,0
1732,sleeeeeeeeeep,0,2,0,1,0
1733,find im enjoying tiny poetry rain ears hear drip drop splash scream laugh live make hard cliche pile dreams like power lines sky raining,0,1,1,1,0
1734,tired must sleep long week ahead weekend friday longer day sore asked cig lifeline sleepsmile love remember,0,1,0,2,1
1735,today much needed day back fake smile tomorrow rejuvenated friends tonight,0,0,0,3,1
1736,moments like wish worked palmar hate rape im good counseling victims especially parental perpetrator way world reality,0,0,0,3,1
1737,blah work lots need money worth really im looking happiness,0,0,0,3,1
1738,sore throat starting tempted gargle vodka must get work done,0,0,0,3,1
1739,frustrated beyond hell blog helping,0,2,0,1,0
1740,ive high ive head clouds hands ground,0,3,0,0,0
1741,think would dead without heating pad completely serious,0,1,0,2,1
1742,dont know mind moment fleeting emotion im tired cant sleep like propane says shotgun leaves messed wall ah well random thoughts better go bed crap goes deeper,0,0,1,2,1
1743,gah headache okay body failing im going put work til tomorrow take care ice cream giant sweater warm beim comin,0,1,0,2,1
1744,okay people seriouslylol blood annoying use every line,0,3,0,0,0
1745,fuck okay file another tragic story box mind dealt longer heart wonder much longer itll taken long,0,1,0,2,1
1746,okay im good positivity right thats work hat sue,0,2,1,0,0
1747,ah coffeemaker world go round,0,3,0,0,0
1748,feel emptied please rain darkness light come fill,0,0,0,3,1
1749,okay must sleep must work mere hours kidding dont sleep eat smoked work love,0,1,0,2,1
1750,got new iphone dont ask wont tell thank,0,3,0,0,0
1751,like chicken fried cold beer friday night pair jeans fit right radio,0,3,0,0,0
1752,flower usually refers vulva general virginity cherry popping kids would say hahaha,0,2,0,1,0
1753,little red bird chair waiting crumbs fall daddy said get job well dont see daddy good catching crumbs,0,3,0,0,0
1754,aggravated let someone else take really happy hurt depressed change reaction one hopeful,0,1,0,2,1
1755,need asleep get idea really,0,1,0,2,1
1756,moment love everything see think feel,0,2,1,0,0
1757,walking river reach hands cup sky runs arms bitter blue turn red gashes grew god songevery word raw honest,0,2,0,1,0
1758,make love,0,3,0,0,0
1759,wish ny seeing propane tomorrow night,0,1,0,2,1
1760,need go back live food diet 90 like bet could 75 without losing much weight,0,1,0,2,1
1761,ugly sparksmoments love,0,1,1,1,0
1762,guess depends moody cant meds damn good,0,2,0,1,0
1763,believe love heart keeps turning believe love think fine,0,3,0,0,0
1764,always want blog magical valve turn write healed never though still hurt feel raw long stay emotion dont denying alright,0,1,0,2,1
1765,fucking musicians fuck musicians,0,3,0,0,0
1766,3,1,1,1,0,0
1767,im done writing need foodhmmm,0,2,0,1,0
1768,shit spasms 8 shots espresso today da man beauty school copyright next criminal minds 3,0,1,1,1,0
1769,find superhero use cant bring believe love silly boy,0,3,0,0,0
1770,breast cancer awareness question colour bra wearing colour im fan bras lately stupid fu idea really raise awareness unless also say hell stupid stupid,0,1,0,2,1
1771,awesome friend surpriseattacked present dark chocolate bacon boardroom best moment ever,0,3,0,0,0
1772,company night ruined physical ailment mine fucking tired,0,1,0,2,1
1773,wow fresh air crazy good day sunshine favourite star,0,2,0,1,0
1774,okay sleep dreaming bacon dark chocolate ummm,0,2,0,1,0
1775,something notthat ill grow god itll stunning,0,2,1,0,0
1776,okay maybe sleep,0,3,0,0,0
1777,pain bitch,0,3,0,0,0
1778,got called work tomorrow least dont run groups bed early tonight,0,0,0,3,1
1779,wow tiring painful day gonna set movie try relax love beautiful friends family support awesomeness high five surgeon man gives hope less painful life 3 make happy yes,0,0,0,3,1
1780,awesome surgeon says try walking today goes well work tomorrow yay im gonna need money wanna try quit job focus jobsopportunities wish luck walking ill report back,0,1,0,2,1
1781,ate nice happy cow filet red wine reduction wish feet werent throbbing could really cook tomorrow shall throw downy skillet,0,2,1,0,0
1782,surgery today cant wait hospital im big fan surgery hospitals feel like home calming chaos,0,0,0,3,1
1783,reading amazing book called stranger strange land im listening lifeline trying rest godawful full day tomorrow,0,1,0,2,1
1784,training back til sunday tired pain starbucks make better know,0,0,0,3,1
1785,last day work caught laughing something horrific last night laughter cope buti cant wait laugh happy things,0,0,1,2,1
1786,clothes disappearing,0,3,0,0,0
1787,ewwwww grossssssssssssss leave alone disgusting,1,0,2,0,0
1788,great time yesterday nice seeing everyone 33,0,2,0,1,0
1789,italyyyyy,0,0,0,3,1
1790,lot bug bites italy,0,0,0,3,1
1791,period cramps,0,0,0,3,1
1792,coming back america soon,0,0,0,3,1
1793,hahaaaahahahahahaaaahahahahahahahhhaahhahahahahahahahhahahahahhahahahahahhahahahahhahaha,1,2,0,0,0
1794,shame raetjgliajgtjajgaijglajweglkjajga,2,1,0,0,0
1795,needs big hug,0,1,0,2,1
1796,changed status happy,0,1,0,2,1
1797,ewwwwwwwwwwwwwwwwwwwwwww,1,2,0,0,0
1798,meteor shower tonight fol,0,3,0,0,0
1799,happy birthday propane mommy loves veryyyy much,0,1,0,2,1
1800,boys like buses miss one next one coming,0,2,0,1,0
1801,im getting pimples whyyyyyyyy,0,1,0,2,1
1802,got home school flies unzip whole time oops,0,2,0,1,0
1803,im going break record,0,2,1,0,0
1804,sometimes think propane bikers asking get hit car,0,3,0,0,0
1805,cant motherfucking fall asleep,0,1,0,2,1
1806,motherfucker think ajkjsgksjgewl,0,1,2,0,0
1807,gloomy cold weather today kinda like,0,1,1,1,0
1808,quarter ends definitely break recordahahahhaha propane,0,2,0,1,0
1809,om shoot,0,2,1,0,0
1810,fortune cookie told wife happy life together wife always thought id married guy fol,0,1,0,2,1
1811,ummm feeling quite happy,0,3,0,0,0
1812,last night lol,0,2,1,0,0
1813,ugly tired looking finals im done,0,1,0,2,1
1814,fucking best,0,3,0,0,0
1815,sold back school books 13875,0,1,0,2,1
1816,weather sooo awesome,0,3,0,0,0
1817,hate phillip shing bing long bong along,0,2,1,0,0
1818,sooo many sidedishes like korean food,0,3,0,0,0
1819,lion never cheat wife tiger wood lol,0,2,0,1,0
1820,every kiss begins every ugly begins u,0,3,0,0,0
1821,nothing gives better night sleep nyquil,0,0,0,3,1
1822,water right,0,2,1,0,0
1823,echo la marcia la marcia marcia aria cia,3,0,0,0,0
1824,watched der rosenkavalier first time oh god,0,2,0,1,0
1825,propane propane,0,1,2,0,0
1826,turbo,3,0,0,0,0
1827,propane like aimed left funny,0,3,0,0,0
1828,saw corialanus globe today wheres,0,2,0,1,0
1829,anyone know good recording elixir amore everything ive listened far sort crap crap crap una furtive lagrima crap crap crap crap crap know hit song god recording thats good whole unit anywhere,0,2,0,1,0
1830,finished steppenwolf everybody,0,3,0,0,0
1831,watched propane propane something forced revise previous low opinion great right philip langridge propane understand weird say seeing came first sti,0,2,1,0,0
1832,1 campus housing expensive 2 fat sugar house life possible 3 many stupid looking dogs many stupid looking dogs,0,1,0,2,1
1833,oh huh ith july weekend coming probably best time try coming,0,3,0,0,0
1834,propane teaches trying propane sometimes ceaseless effort provide slightly depressing take various topics come bit stretch,0,1,0,2,1
1835,hi chicago whats,0,2,1,0,0
1836,saw thirst dark got jogged part way home hell know whyscary wouldnt really word movie dont think,0,3,0,0,0
1837,well work,0,3,0,0,0
1838,oh right diction exam tomorrow huh,0,2,0,1,0
1839,propane convincing king propane wow mean hes good sure know one source reviews ignore,0,3,0,0,0
1840,wow propane small,0,1,1,1,0
1841,hahaha mad men cant sing take back quit tigertones mono high right hahaahaha,0,3,0,0,0
1842,months failure going try come la day everybody disappears im thinking friday,0,0,0,3,1
1843,novelists sure dont like suburbs,0,3,0,0,0
1844,dead like fun concept executed disappointingly,0,3,0,0,0
1845,yes yes fun thing,0,3,0,0,0
1846,gonna eating various kinds wraps every meal,0,1,1,1,0
1847,refrigerator drrrrrr lights flicker,0,3,0,0,0
1848,okay songs bassoon baritone orchestra songs dances death vagabond le bal masque old american songs ich habe genus ravel inert quixote cycles mozart concert arias else,0,3,0,0,0
1849,first thought wow everybody birthdays oncewhat coincidence remembered profiles made threepenny,0,3,0,0,0
1850,wishes people could agree one perfect technique done,0,3,0,0,0
1851,slept much last night,0,3,0,0,0
1852,woah tough day go go go regroup dominate ahhhhh,0,2,0,1,0
1853,surprising much better propane makes everything,0,2,1,0,0
1854,loop opera vowels subsidized foreign fing vowels hahahahaha,1,1,1,0,0
1855,emmit might finally time get coat,0,3,0,0,0
1856,feels pretty ooky going try power sing everything tomorrow anyway good idea lets watch,0,2,1,0,0
1857,every time log something see one cheekbones next words remember cant help think ever briefly ahhhhh forget fate,0,3,0,0,0
1858,student tickets opening night lyric opera unmissable tomorrow going im thinking may go anyway,0,1,0,2,1
1859,wow major insomnia attack might nocturnal weekend,0,1,0,2,1
1860,stupid light vegetable noodle soup worst soup heard flavor bet youve never even heard gym,0,3,0,0,0
1861,far reasonable go get hard find arrangement really want,0,3,0,0,0
1862,whats mind summer programmes,0,2,1,0,0
1863,glory bleach hack hack korra,3,0,0,0,0
1864,egg calling sick surprising amount work,0,2,0,1,0
1865,bird plane airplane,0,3,0,0,0
1866,god cant even look nice confused enough,0,3,0,0,0
1867,oh god rice cookers incredible,0,3,0,0,0
1868,eternal passion stretches apart eternal puhsshuun stroechuuz much apoooooohh music propane revisions brought letter,0,2,1,0,0
1869,propane propane propnames propane songs eeeeeeeeeeeeeeeeeeeeee,0,3,0,0,0
1870,anyone else spend way much time worrying aria start audition irrelevant point im stupid grrrrrr,0,1,0,2,1
1871,blown away schumann symphonywhat dont know believe anymore,0,3,0,0,0
1872,oww backtoday im like 70 something,0,0,0,3,1
1873,lost hour scramble packing people getting high scores ahah,0,2,0,1,0
1874,happy due duh duh da dadadada,1,2,0,0,0
1875,haha propane montage hes talking hes great leader really nice person juxtaposing clips jerk perfect hes still one guys im rooting though,0,1,2,0,0
1876,ahhhhhhhhhhhhhhhhhhhhh go go go go go,1,2,0,0,0
1877,serious hans hotter kick right nowrecovery uncertain,0,0,0,3,1
1878,ho bad hau ju,3,0,0,0,0
1879,pretty amazing many hours required organize presentation going last twenty minutes would much simpler could call witness,0,1,0,2,1
1880,finally went grocery shopping picked small piece roulette knowing wanted something put crackers turns supposed melted flame special grill immediately scraped onto kind bread whyyou get difficult cheese putting right pan toasting somehow work guess well see,0,2,0,1,0
1881,streeterville wrigleyville printers row,0,3,0,0,0
1882,ate ton sugar woaaahhh explain im ripped,0,3,0,0,0
1883,hungry got food cold dont want go get instead plan put safety dance repeat yes yes fed power dance strange medieval town,0,2,0,1,0
1884,realized today idea eggnog looked secretly expecting find made something horrible actually made far wonderful ingredients ever could imagined,0,3,0,0,0
1885,huge baby wisdom teeth years ago splayed couch whining constantly sister however today treated like nothing,0,0,0,3,1
1886,airplane time soon vehicle flies thats important right hahahahahahhahah,0,0,0,3,1
1887,reading rainbow cancelled noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,0,3,0,0,0
1888,time get final wisdom tooth,0,0,0,3,1
1889,rain everywhere,0,3,0,0,0
1890,passed three entrance exams theory history messes,0,2,0,1,0
1891,visiting la tuesday,0,0,0,3,1
1892,competition went zoo zoo talked animals oh god look tiny haha frog oh wow high five frog,0,2,0,1,0
1893,perfectly nocturnal today sleep schedule worst ever ever ugggggggggg,0,1,0,2,1
1894,hooothis semester right guys wild,0,2,1,0,0
1895,wow propnameive never heard anything quite like person search similar sounds led propane productive postconcert internet session cool,0,1,1,1,0
1896,dreamed mob kidnapped forcing host toothpaste infomercial draw toothpaste used athletes olympics kept getting names locations wrong nobody told burly guy suit getting pretty upset cause stopping much roof reason set looked suspiciously like backyard huh,0,2,0,1,0
1897,cooked shiitake mushrooms first time today smelly,0,1,1,1,0
1898,oh god house,0,2,0,1,0
1899,wild things looks soooo good,0,3,0,0,0
1900,terroristunderprivilegeds bombed three hoverports scared angry newsreel says sky empty quiet beautiful,0,2,0,1,0
1901,went class realized never printed essay made mad dash back print continued said mad dash back armory mesh,0,2,0,1,0
1902,dyed hair,0,1,0,2,1
1903,received electric koolaid acid test mail today,0,2,0,1,0
1904,going go play boston piano,0,1,0,2,1
1905,power past 2 horseman im bored,0,1,0,2,1
1906,poor farrah poor michael,0,3,0,0,0
1907,wearing listening less jake,0,3,0,0,0
1908,going warped tomorrow close one gah happy,0,1,0,2,1
1909,loves sol going marry bill harder,0,2,0,1,0
1910,got house tonight finally grand time better start happening often,0,0,0,3,1
1911,needs something witty put status,0,3,0,0,0
1912,woke morning arms asleep unpleasant,0,3,0,0,0
